0.9767717	0.4453023
0.7833160	0.9462924
0.5887630	0.2891524
0.3090996	0.5418857
0.1009995	0.6492801
0.0767031	0.3819711
0.6877939	0.5485142
0.0803747	0.8418640
0.1442480	0.7877183
0.3554320	0.8701164
0.6793588	0.7102836
0.0549447	0.3676913
0.9093195	0.2522916
0.9108273	0.0402595
0.9645799	0.3804900
0.5760462	0.9413516
0.8257922	0.3593622
0.8876440	0.4145551
0.6485146	0.1967437
0.9564408	0.7495142
0.8460238	0.0331441
0.1314852	0.5338176
0.5816581	0.2118599
0.3756816	0.7259061
0.9995782	0.7311137
0.5960225	0.6789369
0.4413973	0.6509672
0.0466283	0.3507167
0.9032587	0.9574554
0.3909761	0.8678387
0.3379453	0.9670224
0.8091904	0.1637374
0.3263845	0.6968343
0.5782925	0.9748991
0.8935779	0.5347334
0.7244132	0.7396017
0.5678772	0.8558984
0.2734194	0.1495354
0.0677583	0.6491010
0.8754417	0.0673365
0.3802147	0.4714640
0.7462733	0.8216120
0.1224312	0.7929016
0.1723287	0.0256900
0.7503570	0.5633048
0.8935289	0.0883023
0.5303271	0.7027191
0.2520396	0.8567117
0.3995533	0.8303322
0.8316109	0.2931313
0.3650656	0.5560240
0.0327330	0.9329429
0.4119224	0.3061523
0.0824782	0.4796806
0.9552532	0.9579198
0.5470171	0.3354679
0.4293838	0.2932904
0.1570799	0.5518150
0.0861921	0.3294085
0.5775051	0.8365490
0.8927133	0.4710339
0.9248513	0.4230405
0.1737529	0.1768909
0.2797521	0.5733063
0.0072231	0.1113628
0.8664376	0.3722887
0.6673869	0.8991706
0.3052316	0.0793093
0.2053228	0.3877098
0.5589899	0.1605761
0.3456296	0.1060070
0.4960440	0.7750133
0.3992974	0.6531239
0.3268283	0.4854894
0.9825324	0.9043334
0.3220384	0.8752457
0.3753672	0.2468897
0.2982862	0.5491201
0.4237806	0.5780383
0.1224264	0.4310037
0.6894012	0.9888639
0.8032925	0.3567882
0.8880344	0.1085241
0.4360974	0.0933572
0.4962338	0.9950873
0.2539333	0.8418634
0.1010943	0.7499773
0.6168767	0.5003917
0.4031011	0.9437051
0.9858811	0.3856336
